1,ドラえもんに登場するスネ夫の名字は？,骨川,コックローチ,タイムアップ,ネパール
2,ドラえもんの好物はどらやき、では妹のドラミちゃんの好物は？,メロンパン,ネクタイ,かき,馬頭琴（ばとうきん）
3,２００９年８月２１日に最初の公判がおこなわれた、特定の刑事裁判において、国民から選ばれた人と裁判官とともに審理に参加する日本の司法制度を何制度と言う？,裁判員制度,てんびん座,シンクロナイズドスイミング,ナチュラル
4,将棋に使う駒の数は敵味方合わせていくつでしょう？,４０個,ヒョウタン,サザンオールスターズ,いちょう切り
5,野球で１試合に一人でヒット、２塁打、３塁打、ホームランを全て打つことを特に何と言うでしょう？,サイクルヒット,関税,たんこぶ,うさぎ
6,宇多田ヒカルのニックネームはヒッキー、では倉木麻衣のニックネームはなんでしょう？,クッキー,せんばやま,ヤクルト（デシンセイ）,はさみ
7,エッセイも人気！アニメちびまるこちゃんの作者といえばだれ？,さくらももこ,もみじおろし,フォーミュラ,６分の１
8,直訳すると「ペラペラ円盤」。パソコンでデータを保存する時に使うものといえば何?,フロッピーディスク,ノベルティ,作家,四捨五入
9,硬式テニスで０点のことを２文字で何と言うでしょう？,ラブ,東大寺,５回,酸素
10,バレーボールで攻撃をすることが出来ない守備専門のプレーヤーを何と言うでしょう？,リベロ,警察署,両得（両全もｏｋ）,矛盾
11,日本で一番高い山は富士山。では日本で一番長い川は一般的に何川と言うでしょう？,信濃川,いなばの白ウサギ,いったんもめん,てこの原理
12,中国の三国志で劉備に仕えた五虎将軍は関羽、超雲、馬超、黄忠とあと一人は誰でしょう？,張飛,トンボ,ＨＰ,宮沢　賢治
13,四国には４つの県があります。高知県、愛媛県、香川県とあと１つはどこでしょう？,徳島県,トライアスロン,かっぱ（蛇もｏｋ）,ジパング
14,日本の県名で漢数字が入っている県が２つあります。１つは三重県。ではもう１つは？(「京」も数の単位ですが、東京、京都は県ではなく都・府なので×),千葉,花道,中島みゆき,ボビン
15,卓球やテニス、バドミントンなどでチャンスボールをおもいっきり相手に打ち込むことをなんというでしょう？,スマッシュ,ナビゲーション,おじょうさん,イタイイタイ病
16,パソコン。コンはコンピュータの略です。ではパソは何の略でしょう？,パーソナル,タウンページ,サンタマリア号,明石市
17,あまり見ることがない２０００円札。この２０００円札に描かれている肖像画は誰の肖像画でしょうか？,紫式部,天皇誕生日,火,３０度
18,はなわがヒットさせた曲「佐賀県」。この曲の中に登場する芸能人は３人います。全て答えなさい。,松雪泰子、江頭２：５０、牧瀬里穂,スクランブルエッグ,プラットフォーム,チッソ
19,日本の県庁所在地の中で唯一ひらがなが使われているのは何県でしょう？,埼玉（さいたま市）,アイスホッケー,すもう,１００℃
20,じゃがいもなどにデンプンが含まれているかどうか調べるときに使う、青紫色に反応する液体とはなんでしょう？,ヨウ素液（ヨードチンキ）,トリッピング,阪神（ジョーンズ選手）,６×６＝３６
21,顕微鏡の観察用の標本のことをカタカナ6文字でなんと言うでしょう？,プレパラート,ゲレンデ,平和賞,ごんぎつね
22,1年の内、一番昼の時間が長い日をなんと言うでしょう？,夏至（げし）,風水,共和党,応仁の乱
23,地球の成層圏で層をなし、紫外線をさえぎる働きをする、フロンガスで破壊される物質といえば？,オゾン,ポケット,トレビの泉,琵琶湖
24,夏の大三角の1等星はデネブ、アルタイルと後一つは何でしょう？カタカナ2文字です。,ベガ,野茂英雄,ホッチキス,ビタミンＡ
25,冷やす目的やテレビの演出でよく使われる、二酸化炭素を冷やして凍らせたものを何と言うでしょう？,ドライアイス,西郷隆盛,ラザニア（ラザーニャ）,越前
26,天気予報などで現在「ミリバール」に替わって気圧の単位として使われる単位は？,ヘクトパスカル,ラジオ体操,スイス,ドラえもん
27,賞の名前にもなっている、ダイナマイトを発明したことで知られる人物と言えば誰でしょう？,ノーベル,豊臣秀吉,Ｃ,葛飾区
28,「バルザック像」「カレーの市民」「考える人」で知られる近世の彫刻家と言えば誰でしょう？,ロダン,ヒョウタン,仙豆（せんず）,イクラちゃん
29,デザイン用語のひとつで、構成の仕方で左右対称のつり合いを表す用語と言えば何？,シンメトリー,ピーターパン,てぶくろ,ひろし
30,「自画像」「はね橋」「ひまわり」で知られる後期印象派の画家と言えば誰でしょう？,ゴッホ,ひらめ,ライト兄弟,鳥山明
31,「最後の晩餐」「モナリザ」で知られるルネッサンスを代表する人物と言えば誰でしょう？,レオナルド・ダ・ビンチ,かかし,正念場（しょうねんば）,江戸川乱歩
32,スポーツの審判の呼び方でサッカーやボクシングはレフリー、相撲は行司、では野球はカタカナ５文字でなんと言うでしょう？,アンパイア,岩手県,ふぐ（マンボウも可）,となりのトトロ
33,1992年に国民栄誉賞を受賞した、漫画「サザエさん」の作者といえば誰？,長谷川町子,明智光秀,（赤）シソ,大山のぶ代
34,人気アニメ「アンパンマン」の作者と言えばズバリ誰でしょう？,やなせたかし,宮里藍,猫の子,ルフィ
35,「サザエさん」に登場する「マスオさん」のフルネームは何？,フグ田マスオ,こんなこといいな,あがり,伊佐坂（さん）
36,1918年に発生した「米騒動」が全国で最初に起こった都道府県はどこ？,富山県,どこでもドア,マグニチュード,野原みさえ
37,奈良時代に東大寺に大仏を作り、全国各地に国分寺をつくらせた天皇といえば？,聖武天皇,かついで（かついだではない）,ゆみ,エルリック
38,16世紀日本に初めて鉄砲が伝わったとされる島と言えば？,種子島,ＫＡＢＡ．ちゃん,なすび,カエル
39,聖徳太子が定めた憲法は何条の憲法だったでしょう？,１７条,５回,スッポン,ウクレレ
40,日本の島の中で最南端にある島と言えば？,沖ノ鳥島,ミュージック,地球,ボイスパーカッション
41,日本の国の鳥、いわゆる「国鳥」といえば何でしょう？,きじ,みそ,プリーツ,アカペラ
42,バスケットボールのゴールの直径は何センチでしょう？,４５ｃｍ,ラッパ,ピーマン,ＯＲＡＮＧＥ　ＲＡＮＧＥ
43,リレーのときにバトンを渡す場所のことを特になんと言うでしょう？,テークオーバーゾーン,スコアレスドロー,アイロン,アコースティックギター
44,オリンピックの旗「五輪旗」に描かれている５つの輪の色を５色全て答えなさい。,赤青黄緑黒,たまごっち,Ｂ,kiroro（キロロ）
45,障害者による国際競技大会で４年に一度オリンピックの開催地で開かれる大会を何ピックと言うでしょう？,パラリンピック,女子十二楽坊,建国記念の日,森田一義（もりたかずよし）
46,ずばりマラソンで走る距離は何キロでしょうか？,４２.１９５ｋｍ,スエズ運河,みどりの日,aiko
47,ラジオ体操第１で最後に行なう運動は何でしょう？,深呼吸,水星,憲法記念日,大塚愛
48,ソプラノリコーダーで全部の穴をふさいで吹くと出る音階は何でしょう？,ド,こしょう,文化の日,細木数子
49,「手のひらを太陽に」の１番の歌詞で生きている友達はみみず、おけらと何？,あめんぼ,エジソン,ハッピーマンデー制度,上
50,「荒城の月」の作曲者と言えば誰でしょう？,滝廉太郎,納豆,元日（元旦は×）,奥田民生
